Step	Training Loss
10	1.357300
20	1.473700
30	1.536600
40	1.324700
50	1.328600
60	1.394400
70	1.184000
80	1.208800
90	1.297500
100	1.211700
110	1.264900
120	1.276400
130	1.110600
140	1.178800
150	1.134100
160	1.168100
170	1.117900
180	1.180500
190	1.170000
200	1.083300
210	1.099500
220	1.077000
230	1.077700
240	1.106500
250	0.952100
260	1.012700
270	0.976300
280	0.979800
290	0.994600
300	0.818100
310	0.989700
320	0.942400
330	0.842600
340	0.982800
350	0.791000
360	0.758900
370	0.843200
380	0.814400
390	0.778300
400	0.763700
410	0.741700
420	0.765300
430	0.714400
440	0.651300
450	0.641700
460	0.651600
470	0.750200
480	0.677300
490	0.586600
500	0.594300
510	0.561300
520	0.569000
530	0.623700
540	0.539700
550	0.527800
560	0.472500
570	0.569100
580	0.531800
590	0.522100
600	0.490900
610	0.474300
620	0.406300
630	0.389600
640	0.385200
650	0.444500
660	0.423100
670	0.450900
680	0.337300
690	0.404400
700	0.381900
710	0.350600
720	0.421400
730	0.331400
740	0.316700
750	0.360900
760	0.325500
770	0.355800
780	0.300600
790	0.347800
800	0.316900
810	0.308700
820	0.341200
830	0.295800
840	0.288700
850	0.312200
860	0.284500
870	0.313700
880	0.282900
890	0.288600
900	0.322400
910	0.302400
920	0.278300
930	0.318100
940	0.259400
950	0.310200
960	0.280700
